key,source,raw_name,inci_name,cas_number,derived_term,derived_variation,derived_physical_form,ingredient_category,definition_display_name,cluster_id,cluster_reason,cluster_size,cosing_items_in_cluster,tgsc_items_in_cluster,sources_in_cluster
061d125cff410bd2667d200fb51214b500d6532d,cosing,HELIANTHUS ANNUUS SEED,HELIANTHUS ANNUUS SEED,84625-38-7,Helianthus annuus,Seed,Whole,Herbs,Helianthus annuus,term:helianthus annuus,post_merge_term_cluster,1,1,0,cosing
db01df5677859fc802677655b9ed36e305239b59,cosing,HELIANTHUS ANNUUS SEED ACID,HELIANTHUS ANNUUS SEED ACID,84625-38-7,Helianthus annuus,Acid,Solid,Acids,Helianthus annuus,term:helianthus annuus,post_merge_term_cluster,1,1,0,cosing
094f530b4c28c6f5195d31f3be18c6ec671cb12a,cosing,HELIANTHUS ANNUUS SEED BUTTER,HELIANTHUS ANNUUS SEED BUTTER,,Helianthus annuus,,Butter,Herbs,Helianthus annuus,term:helianthus annuus,post_merge_term_cluster,1,1,0,cosing
cf1ac54d515132b2fc3193d2282e75fcfd2d2f4d,cosing,HELIANTHUS ANNUUS SEED CERA,HELIANTHUS ANNUUS SEED CERA,68937-99-5,Helianthus annuus,Wax,Wax,Herbs,Helianthus annuus,term:helianthus annuus,post_merge_term_cluster,1,1,0,cosing
e3e5cc7b4664ac8c76feabc1d5b626bae0a62481,cosing,HELIANTHUS ANNUUS SEED EXTRACT,HELIANTHUS ANNUUS SEED EXTRACT,84776-03-4,Helianthus annuus,Seed Extract,Liquid,Herbs,Helianthus Annuus Seed Butter,term:helianthus annuus,post_merge_term_cluster,1,1,0,cosing
c9136b2a08e47c00bbae2a9b9575a4046ffa7aa3,cosing,HELIANTHUS ANNUUS SEED FLOUR,HELIANTHUS ANNUUS SEED FLOUR,8001-21-6,Helianthus annuus,Flour,Powder,Grains,Sunflower,term:helianthus annuus,post_merge_term_cluster,1,1,0,cosing
3a22d39a78f845ade23aecfb11472b2ea1742689,cosing,HELIANTHUS ANNUUS SEED OIL UNSAPONIFIABLES,HELIANTHUS ANNUUS SEED OIL UNSAPONIFIABLES,8001-21-6,Helianthus annuus,Unsaponifiables,Oil,Seeds,Sunflower,term:helianthus annuus,post_merge_term_cluster,1,1,0,cosing
1494885a1bc64f0e6eee877246229765204987bb,cosing,HELIANTHUS ANNUUS SEED WAX,HELIANTHUS ANNUUS SEED WAX,1286686-34-7,Helianthus annuus,Wax,Wax,Herbs,Helianthus annuus,term:helianthus annuus,post_merge_term_cluster,1,1,0,cosing
de25d0691edd9469a007d45f898fdba9681a3b8e,tgsc,"helianthus annuus hybrid oil,",,164250-88-8,Helianthus annuus,Oil,Oil,Herbs,Helianthus Annuus Hybrid,term:helianthus annuus,post_merge_term_cluster,1,1,0,cosing
982c85aef3187937c16dfb516f204e2f3e286216,tgsc,"helianthus annuus seed butter,",,84776-03-4,Helianthus annuus,,Butter,Herbs,Helianthus Annuus Seed Butter,term:helianthus annuus,post_merge_term_cluster,1,1,0,cosing
0d231872b72a08c1ad3afff8fe2894b43ba604c8,tgsc,"helianthus annuus seed oil unsaponifiables,",,8001-21-6,Helianthus annuus,Unsaponifiables,Oil,Seeds,Sunflower,term:helianthus annuus,post_merge_term_cluster,1,1,0,cosing
434773dd408ed93a0b189373cd8ad13261784347,cosing,HORDEUM DISTICHON EXTRACT,HORDEUM DISTICHON EXTRACT,94349-67-4,Hordeum distichon,Extract,Liquid,Herbs,Hordeum distichon,term:hordeum distichon,post_merge_term_cluster,1,1,0,cosing
1c32d2ddece1ebd60ae5f447b3f9c32fdca876ee,cosing,HORDEUM DISTICHON SEED FLOUR,HORDEUM DISTICHON SEED FLOUR,94349-67-4,Hordeum distichon,Flour,Powder,Grains,Hordeum distichon,term:hordeum distichon,post_merge_term_cluster,1,1,0,cosing
475b756d387ae89b826453609d689cdcfae4f941,cosing,HORDEUM VULGARE FLOUR,HORDEUM VULGARE FLOUR,85251-64-5,Hordeum vulgare,Flour,Powder,Grains,Hordeum vulgare,term:hordeum vulgare seed,post_merge_term_cluster,2,2,0,cosing
